unique_1.4,corrected_1.4,unique_4.1.1,corrected_4.1.1,unique_4.1.2,corrected_4.1.2,unique_4.2.1,corrected_4.2.1,unique_4.2.2,corrected_4.2.2,unique_4.5.1,corrected_4.5.1,unique_4.5.2,corrected_4.5.2,unique_4.5.3,corrected_4.5.3,unique_4.5.4,corrected_4.5.4,unique_5.3,corrected_5.3,unique_5.5,corrected_5.5,unique_5.7,corrected_5.7,unique_5.9,corrected_5.9,unique_4.3.4,corrected_4.3.4,unique_4.3.3, corrected_4.3.3,unique_4.3.1,corrected_4.3.1,unique_4.3.2,corrected_4.3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,library events,some events ,Places of worship <25%,"25% capacity, some gatherings ",,,10 public,10
,,,,,,,,,,,,,,,,,,,,,,,,,,Public meetings,some events ,>10 Places of worship,"10, some gatherings ",,,15 home gatherings,
,,,,,,,,,,,,,,,,,,,,,,,,,,Number allowed varies by region,zones,indoor 10,10 indoors ,,,100 religious,100 religion
,,,,,,,,,,,,,,,,,,,,,,,,,,mobility pass,,diplomats,,,,Sports and teams,sports 
,,,,,,,,,,,,,,,,,,,,,,,,,,Tourism locations,zones,>25% public gatherings,25% capacity,,,weddings >20,20 weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,lunar new year,public holiday ,30 exc polling stations,,,,funerals >50,50 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,Multi large events,all events ,top-level sports training,some gatherings ,,,10 weddings; 20 funerals,"10 weddings, 20 funerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,lunar New Year,public holiday ,30 weddings & funerals,,,,>10 funerals,10 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,all big events,all events ,>500 outdoors,500 outdoors ,,,75 private gatherings in places of worship,75 religion
,,,,,,,,,,,,,,,,,,,,,,,,,,national festival,some events ,>100 people,100,,,wedding or birthdays,weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,capacity limits,,Business,,,,40 weddings,40 weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,specific exhibition,some events ,schools,,,,100 indoors,100 indoors
,,,,,,,,,,,,,,,,,,,,,,,,,,fesitvals,some events ,gatherings > 100,100,,,250 outdoors,250 outdoors
,,,,,,,,,,,,,,,,,,,,,,,,,,ChinaJoy,,religious congregration,some gatherings ,,,>75 weddings and funerals,"75 weddings, 75 funerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,Indoor >100,100 indoors ,Religious congregration,some gatherings ,,,informal >10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor >500,500 outdoors ,Gatherings more than 20,20,,,formal >20,20
,,,,,,,,,,,,,,,,,,,,,,,,,,Cultural and leisure events,some events ,Government meetings,some events ,,,funerals > 40,funerals 40 
,,,,,,,,,,,,,,,,,,,,,,,,,,trains,,20 outside workplace,20,,,Prohibition of smoking and barbaques,
,,,,,,,,,,,,,,,,,,,,,,,,,,New Year's Eve events,public holiday ,<50 indoor spaces,50 indoors ,,,mandatory social distancing,
,,,,,,,,,,,,,,,,,,,,,,,,,,large festivals,some events ,>50 religion,"50, some gatherings",,,Individual sports,sports
,,,,,,,,,,,,,,,,,,,,,,,,,,Lantern Festival,public holiday ,Public venues 25% capacity,,,,indoor dining,
,,,,,,,,,,,,,,,,,,,,,,,,,,public outdoor gatherings,,25-50% capacity,20% capacity,,,private and family get-together events,all
,,,,,,,,,,,,,,,,,,,,,,,,,,sports 1000,"1000, some events ",>300,300,,,monitoring compliance,
,,,,,,,,,,,,,,,,,,,,,,,,,,conference 500,"500, some events ",1 per 15m2,,,,alcohol outside the home,
,,,,,,,,,,,,,,,,,,,,,,,,,,all mass events,all events ,1 per 10m2,,,,chrismtas gatherings,
,,,,,,,,,,,,,,,,,,,,,,,,,,40% outdoors,40% capacity outdoors ,50% theatres,,,,>8 beaches,
,,,,,,,,,,,,,,,,,,,,,,,,,,Radisson Blu Larnaca International Marathon,,250 sports,"250, some gatherings ",,,Mosques,
,,,,,,,,,,,,,,,,,,,,,,,,,,<500 indoors,500 indoors ,all religious services,some gatherings ,,,Funerals 10,10 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,<1000 outdoors,1000 outdoors ,all public events,some events ,,,household members +5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,all indoor sports,"indoors, some events ",public  gatherings,all,,,5 (religious observance),5 religion
,,,,,,,,,,,,,,,,,,,,,,,,,,vaccine passport,vaccinated ,outdoor gathering,,,,10 (weddings funerals),"10 weddings, 10 funerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,Drive-through,,campsites,,,,4 (hospitality),
,,,,,,,,,,,,,,,,,,,,,,,,,,childcare centres,,30 outdoors number restriction,30 outdoors ,,,funeral/cremations (<30),30 funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,1000 outdoors;,1000 outdoors ,outdoors 20,20 outdoors ,,,exercise groups (<10),10 sports 
,,,,,,,,,,,,,,,,,,,,,,,,,,1500 indoors,1500 indoors ,outdoors 30,30 outdoors,,,beach/park (<5),
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors 600,600 indoors ,Sports events,some gatherings ,,,all,all gatherings
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors 1000,1000 outdoors,baptism,,,,funerals outdoors,"funerals, outdoors"
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors 3000,3000 indoors ,Movie theatres,,,,Covid passport,covid-pass
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors 9000,9000 outdoors ,Theatres 50%,,,,not limit,no limit
,,,,,,,,,,,,,,,,,,,,,,,,,,600 indoors,600 indoors , religious 10,"10, some gatherings ",,,screening,screening
,,,,,,,,,,,,,,,,,,,,,,,,,,>500 outdoors by special arrangement,500 outdoors , funerals  10,,,,no_limit,no limit
,,,,,,,,,,,,,,,,,,,,,,,,,,<5000,5000,all measures,,,,covid pass,covid-pass
,,,,,,,,,,,,,,,,,,,,,,,,,,5000 sporting events,"5000, some events ",kjjj,,,,no-limit,no limit
,,,,,,,,,,,,,,,,,,,,,,,,,,35%,35% capacity ,<200,200,,,news,news
,,,,,,,,,,,,,,,,,,,,,,,,,,fairs 5000,"5000, some events ",All Gatherings,all gatherings ,,,all gatherings no limit,"all gatherings, no-limit"
,,,,,,,,,,,,,,,,,,,,,,,,,,sports 5000,"5000, some events ",10 religion,"10, some gatherings ",,,RT-pcr,"antigen test, pcr-test"
,,,,,,,,,,,,,,,,,,,,,,,,,,festivals 5000,"5000, some events ",10 public gatherings,10,,,non-limit,no limit
,,,,,,,,,,,,,,,,,,,,,,,,,,Political rallies exempt,,20 funerals,,,,no policy,no policy
,,,,,,,,,,,,,,,,,,,,,,,,,,arts events,some events ,25% capacity sports,"25% capacity, some gatherings ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Oktoberfest,public holiday ,>6 indoor sports,6 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,canivals,some events ,>15 support groups,"10, some gatherings ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Thessaloniki International Fair,some events ,Pubs,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Festival,some events ,restuarants,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,State commemoration of the 1848 revolution,public holiday ,children's sports,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,European Aquatics Championships,some events ,10.5,"5, 10",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,St. Stephen s Day,public holiday ,10.25,"10, 25",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor cultural events,"outdoors, ]some events ",50% capacity religious events,"50% capacity, some events ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,new years parites,public holiday ,holiday gatherings,some gatherings,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,non-contact sports >50,,faith-based,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,100 spectators,100,protests,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,all sports events,some events ,>three households,3 households,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,<16years,,25 in state forests,"25, some gatherings",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,religious mass,some gatherings ,Indoor: 25,25 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sports teams >20,"20, some gatherings ",Outdoor:150,150 outdoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,religious activities,some events ,Over 1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Religious sites,some events ,000 people,1000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Mass events,all events ,Over 50 people,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Friday prayers,some gatherings ,region 4,zones,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ramdan gatherings,some gatherings ,single household indoors,1 household indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,cultural gatherings,some gatherings ,45,45,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,public events; non essential businesses,some gatherings ,>50%,50% capacity ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,100 sports events,"100, some gatherings ",25% or 50 outdoor,50 outdoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>2000,2000,>10 indoors private,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,performaces,some events ,>25 indoors events,25 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Purim,public holiday ,concert venues,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,40% indoors,40% capacity indoors ,and indoor and outdoor performance venues,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors: 500,500 outdoors ,parking lot religious service,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors: 501,500 outdoors ,25% or 250 indoors,250 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Indoors: 100,100 indoors ,25% or 500 outdoors,500 outdoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,rapid tests,antigen test ,500 large outdoor venues,500 outdoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sports events without audience,some events ,workplace events and gatherings,some events ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors:500,500 indoors ,capacity limits on gatherings,capacity cap,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors:1000,1000 outdoors,13 counties,zones,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors: 2500,2500 indoors ,hotspot counties,zones,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors:5000,5000 outdoors ,<20 outdoors,20 outdoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,280 outdoors,280 outdoors ,Crowd limitations on K-12 xtra-curricular activities,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Selected events,some events ,except 4 counties,zones,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Olympics,some events ,89 counties,zones,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Ceremonies,some events,66 counties,zones,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,100 indoor 200 outdoor,"100 indoors, 200 outdoors ",indoor: 50% capacity,50% capacity indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,New years,public holiday ,Thanksgiving gatherings,public holiday ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,All gatherings except wedding and funerals,,>100 Gatherings,100,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,social and political gatherings,some gatherings ,>10 gatherings,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Al large gatherings,all gatherings ,any gatherings,all,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,All large gaterings,all gatherings ,>10 religious events,"10, some gatherings ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,All political gatherings,some gatherings ,500  outdoors,500 outdoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Large gatherins,all gatherings ,Worship,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Large public gatherings,some events ,spiritual gatherings,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,large social gatherings,some events,funeral ceremonies,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,120 inside,120 indoors ,wedding ceremonies,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sporting 2500,"2500, some events ",Halloween,public holiday ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,political gatherings 200 inside,"200 indoors, some gatherings ",Events 25,25,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors 701,700 outdoors ,other recommend limit 10,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Some activities,some gatherings ,Any <6 ft,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sports competitions,some events ,base 10,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,no restriction,,phase 1 25 with distancing,"25, zones",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,tourism,,Labor Day holiday,public holiday ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,area based,zones ,indoor >10,10 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,White Moon Festival,public holiday ,indoor/outdoor events >50,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,political rallies; sporting events; Religious gatherings,some events ,high-risk counties,zones,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,trade fairs,some events ,>10 except places of worship,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,seminars,some events ,weddings and funerals,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>250 geligion,"250, some events ",social distancing and masks,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,100 weddings,,no limit for green zone,"no limit, zones",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>500 people,500,<50 yellow zone,"50, zones",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>100 people,100, or 50% capacity,"50% capacity, zones",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Major sports events,some events ,900 outdoors,900 outdoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,national day celebrations,public holiday ,private >10,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,restricting,,public 25% capacity,25% capacity ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,obeher,,bars and restaurants 25% capacity,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor 50,500 outdoors ,50 events,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,7000,7000,Emergency gatherings,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,cultural activities,some events ,1000 religion,"1000, some gatherings ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,all gatheerings,all gatherings ,Fairs,some gatherings,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,50% events,50% capacity,some recreation,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,50% sports,50% capacity ,public events prohibited; museums and cultural attractions 50%; prohibition on beaches,some gatherings,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1 person per 4sqm,,public swimming pools,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,250 sports,"250, some events ",and all naval clubs,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,30% capcaity,30% capacity ,religious gatherings 4 days per week,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,F1 Grand Prix,some events ,Religious activities; funerals 10; covid funerals 5,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,50% agricultural exhibitions,"50% capacity, some events ",5 exercise groups,"5, some gatherings",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,festivals and fairs and activities,some events ,All private or public gatherings,all gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,VE day celebrations,public holiday ,all gatherings zones,"all gatherings, zones ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Kwibuka,zones ,all social gatherings,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,including Religious events,,sporintg eventing,some events ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,> 6,,outdoor weddings/funerals >30,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,50% - 75% capacity,50% capacity ,>80,80,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,Sporting Activities,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,250 worship service,"250, some events ",Easter,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,50 other times,50,Sports and teams,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,annual meetings,some events ,>50 outside religious gatherings,50 outdoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Student celebrations,some events ,>10 outside,10 outdoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,300 cultural events,"300, some events ",2000 seated outdoors,2000 outdoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors 3000,300 outdoors ,300 corporate functions,"300, some events ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sports 900,"900,some events ",20 Outdoor religious gatherings,"20, some gatherings ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Norouz celebrations,public holiday ,70 outside and 40 inside hospitality venues,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,public gatherings <25,25,Prayers at mosques,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Sporting events; groups <25,25 some events ,collective worship and religious assemblies,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,All except prayers,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sports gatherings,some gatherings ,75 excl weddings,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,economic gatherings,some gatherings ,75 with multiple exceptions,75,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,25% capacity sports,"25% capacity, some events ",conferences and seminars,some events ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,all atherings,all gatherings ,Religious activities reduced to 1/3 capacity,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,full capacity indoors,100% capacity indoors ,50% hospitality capacity,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,60% capacity,60% capacity ,Religious gatherings 1/3 capacity,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors 1500,1500 indoors ,Khmer New Year,public holiday ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors 2500,2500 outdoors ,and nightclubs,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,English Football League,some events ,shops,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,500 sports,"500, some events ",theaters,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,st patricks day,public holiday ,culture,some events ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,professional sport,some events ,national parks,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Drive-in events,some events ,sites of public gatherings,all,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor events,,>50 prohibited,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,500 seated,500,all gatherngs,all gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4000 standing,4000,50 percent occupancy theatre and cinemas,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10000 sitting,10000,Cultural exhibitions,some events ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,indoor 1000 sitting,1000 indoors ,50% outside only,50% capacity outdoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,indoor 200 standing,200 indoors ,all gatheings,all gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4th July celebrations,public holiday ,16,16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,single household,1 household ,<10 in red areas,"10, zones",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Washington university sports,some events ,club meetings,some gatherings,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,adult sports,some events ,multiple categories of social activity,some gatherings,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>0,0,>200 indoors,200 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,holiday gatherings,public holiday ,All meetings,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,all public gatherings >5; faithbased <50,"5, some gatherings",indoors 100,100 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors >10,10 indoors ,International meetings,some gatherings,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors >25; faithbased 25% capacity,"25 outdoors, 25% capacity, some events ",public ceremonies,some gatherings,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,25% capacity of previous year,,religious ceremonies,some events,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,large non-essential public events,all events ,beach access,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,25% capacity at sports events,"25% capacity, some events ",> 50,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,50% capacity sports events,"50% capacity, some events ",no restrictions,all,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>25% capacity outdoors,25% capacity outdoors,Eid gatherings,public holiday ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,< 1,0,Eid gatherins,public holiday ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,All public and private gatherings,all gatherings ,Risk areas,zones,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,state fairs,some events ,wedding 300,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Region 5,zones,markets,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Regions 4 and 10,zones,<25 inside,25 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Region 11,zones,<50 outside,50 outdoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Region 9,zones,social gatherings: > 10,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Region 3,zones,>20 registration; religious 50,"20, some gatherings, 50, some gatherings ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Region 6,zones,all agtherings,all gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Region 2,zones,Private meetings in public areas,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,all counties except 1,zones,weddings <50,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Special or seasonal events,public holiday ,funerals <30,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,<250 or approval,250,religious activities <20,"20, some gatherings",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Gatherings of <50,50,>49,49,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,All gathernigs at 50% capacity,50% capacity,indoor >50,50 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>25 indoor event venues,25 indoors ,outdoor >100,100 outdoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,12% capacity,12% capacity ,Gatherings in businesses,some events ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sporting events without audiences,some events ,Indoor>50,50 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>20 outdoors,20 outdoors ,ourdoor >100,100 outdoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,two households,2 households ,stadiums 30%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>25  outdoors,25 outdoors ,Public places,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Halls,,Outdoor spaces,outdoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,centers and arenas,some events ,max capacity 50,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,limited capacity,,up to 50 ppl,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Indoor and outdoor recreational activity,,Selected mosques,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,social distancing and screening required,screening ,up to 250 ppl allowed split in 5 zones of 50 ppl each,250,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-12 extracurricular activities,,100 religious services,"100, some gatherings ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,50% capacity outdoors,"outdoors, 50% capacity ",250 for business gatherings,"250, some gatherings ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,25% capacity indoors,25% capacity indoors ,Religious services all,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Governor's Mansion event,,adult parties,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,most counties,zones ,amateur sports,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,indoor: 75% capacity,75% capacity indoors,except essential services,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor: 100% capacity,100% capacity outdoors,Parties,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor youth sports,some gatherings ,<30 funerals,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,education,,40% capacity,40% capacity ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,vaccination,vaccinated ,90 indoors,90 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>50 indoors and >100 outdoors,"50 indoors, 100 outdoors ",125 outdoors,125 outdoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>100  indoors and > 250 outdoors,"100 indoors, 250 outdoors ",>250 indoors,250 indoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>150 outdoors,150 outdoors ,religious ritual services,some gatherings ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Horse racing,some events ,public spaces,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,33% capacity ,organised gatherings,some gatherings,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>50% capacity,50% capacity ,50% & max 25,25,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Arnold Sports Festival,some events ,120 outdoors,125 outdoors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,fairs and festivals,some events ,indoor 50,50 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,graduation ceremonies,some events ,indoor 15,15 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Independence Day fireworks shows,public holiday ,"outdoor
>50 place of worship","50 outdoors, some gatherings ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Memorial Golf Tournament,,5o indoor,50 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Kids sports,some gatherings ,1500 outdoors,1500 outdoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,contact and non-contact sports,some gatherings ,indoor 200,200 indoors ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland Browns,,indoors: 25 outdoors: 50,"25 indoors, 50 outdoors",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals,,holidays,public holiday ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Honda Indy 200,,Metropolitan Park on weekends,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors >250,250 outdoors ,sports 500,"500, some events ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,celebrations indoors: >75,75 indoors ,50 with plan,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,>125,125,inter-regional travel,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,non-contact attractions,,NEWS,news,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,occupancy limits,,no gatherings,all ,,,,
