unique_1.4,corrected_1.4,unique_4.1.1,corrected_4.1.1,unique_4.1.2,corrected_4.1.2,unique_4.2.1,corrected_4.2.1,unique_4.2.2,corrected_4.2.2,unique_4.5.1,corrected_4.5.1,unique_4.5.2,corrected_4.5.2,unique_4.5.3,corrected_4.5.3,unique_4.5.4,corrected_4.5.4,unique_5.3,corrected_5.3,unique_5.5,corrected_5.5,unique_5.7,corrected_5.7,unique_5.9,corrected_5.9,unique_4.3.4,corrected_4.3.4,unique_4.3.3, corrected_4.3.3,unique_4.3.1,corrected_4.3.1,unique_4.3.2,corrected_4.3.2
> 75,,seondary schools,secondary schools,secondary schools (lower),secondary schools,personal,beauty,non- essential,non-essential businesses,limited flights,domestic flights,,,guangzhou,Guangzhou,,,allcountires,all countries,single border,single country, brazil,Brazil,news,news,25%,25% capacity ,5 outdoors,5 outdoors ,>50 christmas,50,100 weddings,100 weddings
beard,other,kindergten,kindergarten,daycare providers (not centres),childcare centres,NEWS,news,Recreation,recreation,non-essenial travel,non-essential travel,,,10,,,,schleswig-holstein,Germany (Schleswg-Holstein),vaccintated,vaccinated,covid-pass,covid-pass,multple borders,multiple borders,50 indoors,50 indoors,all events,,30 indoors,30 indoors,>30,30
recovered people,covid-pass,primary  schools,primary schools,childcare centers,childcare centres,industrty,industry,vaccine passport,covid-pass,non-essential travels,non-essential travel,,,airport,,,,non-reseidents,non-residents,symptomatic travellers,symptomatic,Arab states of the Perisan Gulf,Arab states of the Perisan Gulf,non-covid,non-covid,All public events,some events ,50% capacity,50% capacity ,50 outdoors,50 outdoors,bubble,household
symptoms,symptomatic,daycare centers,childcare centres,exemptions,,public places,,public transport,,airport,other,,,quarantine zones,"quarantine, zones",,,non-essential,non-essential travel,un-vaccinated,unvaccinated,rRussia,"russia, single country",Moroco,"single country, Morocco",40,40,>10 indoors,10 indoors ,10 indoors,10 indoors,weddings and funerals,"weddings, funerals"
funerals,other,Nurseries and kindergartens,kindergarten,unvacciated,unvaccinated,EURO_1378508,,most businesses,some businesses,zones,zones,,,pcr-test single area,"pcr-test, single area",,,un-vaccinated,unvaccinated,on-eu,non-EU,Berlin,"germany, single country",,,conference,,sporting,some gatherings,25 outdoors,25 outdoors,20 weddings,20 weddings
exceptions; <13,,language schools,other,zoens,zones,fitnes,fitness,COVID pass,covid-pass,publci transport,public transport,,,liaoning,Liaoning,,,multiple-countries,multiple countries,under 5,,news,news,,,pass,covid-pass,<5,5,September 18 holidays,,5 outdoors,5 outdoors
beauty,businesses,nurseries,kindergarten,600,,hosptiality,hospitality,zons,zones,all education,,,,occupied territories,Occupied territories,,,multiple countires,multiple countires,high_risk countries,high-risk countries,new,news,,,test,pcr-test,sporting event,some gatherings,>30,30,5 indoor,5 indoors
publci spaces,public spaces,VET,other,offices,offices,hospitaloty,hospitality,government offices,offices,recovered,covid-pass,,,themal screening,screening,,,health pass,covid-pass,screening,screening,,,,,conferences,,>30,30,weekends,,<2,2
regions,zones,kinderkarten,kindergarten,all education],all education,entertianment,entertainment,tourism,tourism,interregional transport,inter-regional travel,,,check points,screening,,,vaccination,vaccinated,test positive,pcr-test,,,,,6,6,300,300,Family gatherings,household,12,12
social distancing,public spaces,recovered,covid-pass,secondary  schools,secondary schools,>20%,,tourim,tourism,doemstic flights,domestic flights,,,offices,,,,single border,neighbouring countries,COVID positive,pcr-test,,,,,Mass gathering,all gatherings ,<50,50,Public transport & institutions,,30 weddings,30 weddings
religious ceremonies,other,student resident halls,post-secondary schools,childcare centers,childcare centres,retail offices,"retail, offices",retaurant,hospitality,non-essental travel,non-essential travel,,,essential businesses,,,,all travellers through land borders,neighbouring countries,pcrtest,pcr-test,,,,,Mass gatherings,all gatherings ,sporting events,some gatherings,10 relatives,10,vaccinated,vaccinated 
<50,,others,other,levels,years,gymns,fitness,markets,retail,New Year,,,,Northern Italy,Northern Italy,,,multiple borders,neighbouring countries,prc-test,pcr-test,,,,,25% capacity,25% capacity ,40,40,10 family members,10,burials,burials
